name	command	threads	rep	mode	real	user	sys
ccdg_10k	view_bcf	0	1	baseline	3.950000	2.420000	0.190000
ccdg_10k	view_bcf	0	1	plan	3.690000	2.190000	0.170000
ccdg_10k	view_bcf	0	2	plan	3.710000	2.190000	0.190000
ccdg_10k	view_bcf	0	2	baseline	3.890000	2.380000	0.190000
ccdg_10k	view_bcf	0	3	baseline	3.900000	2.390000	0.190000
ccdg_10k	view_bcf	0	3	plan	3.730000	2.200000	0.190000
ccdg_10k	view_bcf	0	4	plan	3.720000	2.200000	0.190000
ccdg_10k	view_bcf	0	4	baseline	3.900000	2.390000	0.190000
ccdg_10k	view_bcf	0	5	baseline	3.930000	2.410000	0.190000
ccdg_10k	view_bcf	0	5	plan	3.740000	2.220000	0.190000
ccdg_10k	view_bcf	2	1	baseline	3.110000	2.900000	0.430000
ccdg_10k	view_bcf	2	1	plan	2.920000	2.710000	0.430000
ccdg_10k	view_bcf	2	2	plan	2.950000	2.720000	0.440000
ccdg_10k	view_bcf	2	2	baseline	3.120000	2.910000	0.430000
ccdg_10k	view_bcf	2	3	baseline	3.130000	2.920000	0.450000
ccdg_10k	view_bcf	2	3	plan	2.930000	2.710000	0.430000
ccdg_10k	view_bcf	2	4	plan	2.930000	2.710000	0.430000
ccdg_10k	view_bcf	2	4	baseline	3.120000	2.910000	0.430000
ccdg_10k	view_bcf	2	5	baseline	3.100000	2.900000	0.430000
ccdg_10k	view_bcf	2	5	plan	2.930000	2.710000	0.440000
ccdg_10k	view_bcf	4	1	baseline	3.110000	2.920000	0.450000
ccdg_10k	view_bcf	4	1	plan	2.930000	2.720000	0.460000
ccdg_10k	view_bcf	4	2	plan	2.930000	2.720000	0.440000
ccdg_10k	view_bcf	4	2	baseline	3.110000	2.920000	0.450000
ccdg_10k	view_bcf	4	3	baseline	3.110000	2.910000	0.450000
ccdg_10k	view_bcf	4	3	plan	2.930000	2.720000	0.450000
ccdg_10k	view_bcf	4	4	plan	2.930000	2.720000	0.450000
ccdg_10k	view_bcf	4	4	baseline	3.110000	2.920000	0.450000
ccdg_10k	view_bcf	4	5	baseline	3.110000	2.920000	0.460000
ccdg_10k	view_bcf	4	5	plan	2.940000	2.720000	0.440000
ccdg_10k	view_keep2_bcf	0	1	baseline	2.590000	2.530000	0.030000
ccdg_10k	view_keep2_bcf	0	1	plan	2.370000	2.310000	0.030000
ccdg_10k	view_keep2_bcf	0	2	plan	2.360000	2.310000	0.030000
ccdg_10k	view_keep2_bcf	0	2	baseline	2.570000	2.510000	0.030000
ccdg_10k	view_keep2_bcf	0	3	baseline	2.570000	2.520000	0.030000
ccdg_10k	view_keep2_bcf	0	3	plan	2.370000	2.320000	0.030000
ccdg_10k	view_keep2_bcf	0	4	plan	2.360000	2.310000	0.030000
ccdg_10k	view_keep2_bcf	0	4	baseline	2.570000	2.510000	0.030000
ccdg_10k	view_keep2_bcf	0	5	baseline	2.570000	2.510000	0.040000
ccdg_10k	view_keep2_bcf	0	5	plan	2.370000	2.320000	0.030000
ccdg_10k	view_keep2_bcf	2	1	baseline	2.260000	2.660000	0.150000
ccdg_10k	view_keep2_bcf	2	1	plan	2.070000	2.470000	0.150000
ccdg_10k	view_keep2_bcf	2	2	plan	2.070000	2.470000	0.150000
ccdg_10k	view_keep2_bcf	2	2	baseline	2.290000	2.690000	0.160000
ccdg_10k	view_keep2_bcf	2	3	baseline	2.270000	2.670000	0.160000
ccdg_10k	view_keep2_bcf	2	3	plan	2.080000	2.480000	0.150000
ccdg_10k	view_keep2_bcf	2	4	plan	2.070000	2.470000	0.150000
ccdg_10k	view_keep2_bcf	2	4	baseline	2.280000	2.680000	0.160000
ccdg_10k	view_keep2_bcf	2	5	baseline	2.270000	2.660000	0.160000
ccdg_10k	view_keep2_bcf	2	5	plan	2.080000	2.480000	0.150000
ccdg_10k	view_keep2_bcf	4	1	baseline	2.280000	2.680000	0.160000
ccdg_10k	view_keep2_bcf	4	1	plan	2.070000	2.470000	0.160000
ccdg_10k	view_keep2_bcf	4	2	plan	2.080000	2.470000	0.160000
ccdg_10k	view_keep2_bcf	4	2	baseline	2.280000	2.680000	0.160000
ccdg_10k	view_keep2_bcf	4	3	baseline	2.280000	2.680000	0.160000
ccdg_10k	view_keep2_bcf	4	3	plan	2.070000	2.470000	0.160000
ccdg_10k	view_keep2_bcf	4	4	plan	2.080000	2.490000	0.160000
ccdg_10k	view_keep2_bcf	4	4	baseline	2.280000	2.680000	0.160000
ccdg_10k	view_keep2_bcf	4	5	baseline	2.300000	2.700000	0.160000
ccdg_10k	view_keep2_bcf	4	5	plan	2.070000	2.480000	0.160000
ccdg_10k	view_sites_bcf	0	1	baseline	2.580000	2.520000	0.040000
ccdg_10k	view_sites_bcf	0	1	plan	2.380000	2.330000	0.040000
ccdg_10k	view_sites_bcf	0	2	plan	2.370000	2.320000	0.040000
ccdg_10k	view_sites_bcf	0	2	baseline	2.590000	2.520000	0.040000
ccdg_10k	view_sites_bcf	0	3	baseline	2.580000	2.530000	0.040000
ccdg_10k	view_sites_bcf	0	3	plan	2.330000	2.290000	0.020000
ccdg_10k	view_sites_bcf	0	4	plan	2.330000	2.290000	0.020000
ccdg_10k	view_sites_bcf	0	4	baseline	2.530000	2.490000	0.020000
ccdg_10k	view_sites_bcf	0	5	baseline	2.540000	2.500000	0.030000
ccdg_10k	view_sites_bcf	0	5	plan	2.340000	2.290000	0.030000
ccdg_10k	view_sites_bcf	2	1	baseline	2.230000	2.640000	0.140000
ccdg_10k	view_sites_bcf	2	1	plan	2.040000	2.450000	0.140000
ccdg_10k	view_sites_bcf	2	2	plan	2.050000	2.450000	0.160000
ccdg_10k	view_sites_bcf	2	2	baseline	2.260000	2.650000	0.170000
ccdg_10k	view_sites_bcf	2	3	baseline	2.230000	2.640000	0.140000
ccdg_10k	view_sites_bcf	2	3	plan	2.040000	2.450000	0.150000
ccdg_10k	view_sites_bcf	2	4	plan	2.050000	2.450000	0.160000
ccdg_10k	view_sites_bcf	2	4	baseline	2.260000	2.660000	0.170000
ccdg_10k	view_sites_bcf	2	5	baseline	2.240000	2.650000	0.160000
ccdg_10k	view_sites_bcf	2	5	plan	2.040000	2.440000	0.140000
ccdg_10k	view_sites_bcf	4	1	baseline	2.240000	2.640000	0.150000
ccdg_10k	view_sites_bcf	4	1	plan	2.050000	2.460000	0.160000
ccdg_10k	view_sites_bcf	4	2	plan	2.040000	2.450000	0.150000
ccdg_10k	view_sites_bcf	4	2	baseline	2.240000	2.640000	0.140000
ccdg_10k	view_sites_bcf	4	3	baseline	2.230000	2.640000	0.140000
ccdg_10k	view_sites_bcf	4	3	plan	2.030000	2.440000	0.140000
ccdg_10k	view_sites_bcf	4	4	plan	2.050000	2.450000	0.150000
ccdg_10k	view_sites_bcf	4	4	baseline	2.250000	2.660000	0.160000
ccdg_10k	view_sites_bcf	4	5	baseline	2.260000	2.670000	0.170000
ccdg_10k	view_sites_bcf	4	5	plan	2.040000	2.450000	0.150000
ccdg_10k	query_sites	0	1	baseline	0.400000	0.380000	0.010000
ccdg_10k	query_sites	0	1	plan	0.410000	0.390000	0.010000
ccdg_10k	query_sites	0	2	plan	0.410000	0.380000	0.010000
ccdg_10k	query_sites	0	2	baseline	0.410000	0.380000	0.010000
ccdg_10k	query_sites	0	3	baseline	0.400000	0.380000	0.010000
ccdg_10k	query_sites	0	3	plan	0.410000	0.380000	0.010000
ccdg_10k	query_sites	0	4	plan	0.410000	0.380000	0.010000
ccdg_10k	query_sites	0	4	baseline	0.400000	0.380000	0.010000
ccdg_10k	query_sites	0	5	baseline	0.410000	0.380000	0.010000
ccdg_10k	query_sites	0	5	plan	0.410000	0.380000	0.010000
ccdg_10k	query_gt_keep2	0	1	baseline	0.670000	0.640000	0.020000
ccdg_10k	query_gt_keep2	0	1	plan	0.440000	0.410000	0.010000
ccdg_10k	query_gt_keep2	0	2	plan	0.440000	0.410000	0.020000
ccdg_10k	query_gt_keep2	0	2	baseline	0.670000	0.640000	0.010000
ccdg_10k	query_gt_keep2	0	3	baseline	0.670000	0.640000	0.010000
ccdg_10k	query_gt_keep2	0	3	plan	0.430000	0.410000	0.010000
ccdg_10k	query_gt_keep2	0	4	plan	0.440000	0.410000	0.010000
ccdg_10k	query_gt_keep2	0	4	baseline	0.670000	0.640000	0.010000
ccdg_10k	query_gt_keep2	0	5	baseline	0.670000	0.640000	0.020000
ccdg_10k	query_gt_keep2	0	5	plan	0.440000	0.410000	0.020000
ccdg_10k	query_gt_all	0	1	baseline	2.920000	2.860000	0.050000
ccdg_10k	query_gt_all	0	1	plan	2.730000	2.670000	0.050000
ccdg_10k	query_gt_all	0	2	plan	2.720000	2.650000	0.050000
ccdg_10k	query_gt_all	0	2	baseline	2.960000	2.880000	0.050000
ccdg_10k	query_gt_all	0	3	baseline	2.970000	2.890000	0.050000
ccdg_10k	query_gt_all	0	3	plan	2.710000	2.660000	0.040000
ccdg_10k	query_gt_all	0	4	plan	2.740000	2.670000	0.040000
ccdg_10k	query_gt_all	0	4	baseline	2.970000	2.890000	0.060000
ccdg_10k	query_gt_all	0	5	baseline	2.950000	2.880000	0.050000
ccdg_10k	query_gt_all	0	5	plan	2.740000	2.670000	0.050000
ccdg_10k	stats	0	1	baseline	0.450000	0.420000	0.020000
ccdg_10k	stats	0	1	plan	0.450000	0.420000	0.020000
ccdg_10k	stats	0	2	plan	0.450000	0.420000	0.010000
ccdg_10k	stats	0	2	baseline	0.450000	0.420000	0.020000
ccdg_10k	stats	0	3	baseline	0.450000	0.420000	0.010000
ccdg_10k	stats	0	3	plan	0.450000	0.420000	0.020000
ccdg_10k	stats	0	4	plan	0.450000	0.420000	0.020000
ccdg_10k	stats	0	4	baseline	0.450000	0.420000	0.020000
ccdg_10k	stats	0	5	baseline	0.450000	0.420000	0.020000
ccdg_10k	stats	0	5	plan	0.460000	0.420000	0.020000
ccdg_10k	filter_gt_keep2	0	1	baseline	2.850000	2.790000	0.040000
ccdg_10k	filter_gt_keep2	0	1	plan	2.640000	2.580000	0.040000
ccdg_10k	filter_gt_keep2	0	2	plan	2.640000	2.580000	0.040000
ccdg_10k	filter_gt_keep2	0	2	baseline	2.850000	2.800000	0.040000
ccdg_10k	filter_gt_keep2	0	3	baseline	2.850000	2.790000	0.040000
ccdg_10k	filter_gt_keep2	0	3	plan	2.640000	2.580000	0.040000
ccdg_10k	filter_gt_keep2	0	4	plan	2.630000	2.580000	0.030000
ccdg_10k	filter_gt_keep2	0	4	baseline	2.850000	2.790000	0.040000
ccdg_10k	filter_gt_keep2	0	5	baseline	2.830000	2.780000	0.040000
ccdg_10k	filter_gt_keep2	0	5	plan	2.640000	2.580000	0.040000
ccdg_10k	filter_gt_keep2	2	1	baseline	2.550000	2.940000	0.170000
ccdg_10k	filter_gt_keep2	2	1	plan	2.340000	2.730000	0.170000
ccdg_10k	filter_gt_keep2	2	2	plan	2.350000	2.740000	0.170000
ccdg_10k	filter_gt_keep2	2	2	baseline	2.550000	2.950000	0.170000
ccdg_10k	filter_gt_keep2	2	3	baseline	2.550000	2.940000	0.160000
ccdg_10k	filter_gt_keep2	2	3	plan	2.330000	2.730000	0.160000
ccdg_10k	filter_gt_keep2	2	4	plan	2.350000	2.730000	0.150000
ccdg_10k	filter_gt_keep2	2	4	baseline	2.520000	2.930000	0.150000
ccdg_10k	filter_gt_keep2	2	5	baseline	2.550000	2.940000	0.160000
ccdg_10k	filter_gt_keep2	2	5	plan	2.330000	2.730000	0.140000
ccdg_10k	filter_gt_keep2	4	1	baseline	2.520000	2.930000	0.150000
ccdg_10k	filter_gt_keep2	4	1	plan	2.330000	2.740000	0.140000
ccdg_10k	filter_gt_keep2	4	2	plan	2.320000	2.730000	0.150000
ccdg_10k	filter_gt_keep2	4	2	baseline	2.530000	2.930000	0.150000
ccdg_10k	filter_gt_keep2	4	3	baseline	2.550000	2.950000	0.170000
ccdg_10k	filter_gt_keep2	4	3	plan	2.340000	2.740000	0.170000
ccdg_10k	filter_gt_keep2	4	4	plan	2.340000	2.740000	0.170000
ccdg_10k	filter_gt_keep2	4	4	baseline	2.560000	2.960000	0.180000
ccdg_10k	filter_gt_keep2	4	5	baseline	2.570000	2.950000	0.190000
ccdg_10k	filter_gt_keep2	4	5	plan	2.420000	2.750000	0.220000
