name	command	rep	comparison	status
ccdg_10k	view_bcf	1	baseline_vs_plan	ok
ccdg_10k	view_bcf	2	baseline_vs_plan	ok
ccdg_10k	view_bcf	3	baseline_vs_plan	ok
ccdg_10k	view_bcf	4	baseline_vs_plan	ok
ccdg_10k	view_bcf	5	baseline_vs_plan	ok
ccdg_10k	view_keep2_bcf	1	baseline_vs_plan	ok
ccdg_10k	view_keep2_bcf	2	baseline_vs_plan	ok
ccdg_10k	view_keep2_bcf	3	baseline_vs_plan	ok
ccdg_10k	view_keep2_bcf	4	baseline_vs_plan	ok
ccdg_10k	view_keep2_bcf	5	baseline_vs_plan	ok
ccdg_10k	view_sites_bcf	1	baseline_vs_plan	ok
ccdg_10k	view_sites_bcf	2	baseline_vs_plan	ok
ccdg_10k	view_sites_bcf	3	baseline_vs_plan	ok
ccdg_10k	view_sites_bcf	4	baseline_vs_plan	ok
ccdg_10k	view_sites_bcf	5	baseline_vs_plan	ok
ccdg_10k	query_sites	1	baseline_vs_plan	ok
ccdg_10k	query_sites	2	baseline_vs_plan	ok
ccdg_10k	query_sites	3	baseline_vs_plan	ok
ccdg_10k	query_sites	4	baseline_vs_plan	ok
ccdg_10k	query_sites	5	baseline_vs_plan	ok
ccdg_10k	query_gt_keep2	1	baseline_vs_plan	ok
ccdg_10k	query_gt_keep2	2	baseline_vs_plan	ok
ccdg_10k	query_gt_keep2	3	baseline_vs_plan	ok
ccdg_10k	query_gt_keep2	4	baseline_vs_plan	ok
ccdg_10k	query_gt_keep2	5	baseline_vs_plan	ok
ccdg_10k	query_gt_all	1	baseline_vs_plan	ok
ccdg_10k	query_gt_all	2	baseline_vs_plan	ok
ccdg_10k	query_gt_all	3	baseline_vs_plan	ok
ccdg_10k	query_gt_all	4	baseline_vs_plan	ok
ccdg_10k	query_gt_all	5	baseline_vs_plan	ok
ccdg_10k	stats	1	baseline_vs_plan	ok
ccdg_10k	stats	2	baseline_vs_plan	ok
ccdg_10k	stats	3	baseline_vs_plan	ok
ccdg_10k	stats	4	baseline_vs_plan	ok
ccdg_10k	stats	5	baseline_vs_plan	ok
ccdg_10k	filter_gt_keep2	1	baseline_vs_plan	ok
ccdg_10k	filter_gt_keep2	2	baseline_vs_plan	ok
ccdg_10k	filter_gt_keep2	3	baseline_vs_plan	ok
ccdg_10k	filter_gt_keep2	4	baseline_vs_plan	ok
ccdg_10k	filter_gt_keep2	5	baseline_vs_plan	ok
