name	command	threads	baseline_real_mean	baseline_real_se	plan_real_mean	plan_real_se	real_speedup	baseline_user_mean	baseline_user_se	plan_user_mean	plan_user_se	user_speedup
ccdg_10k	view_bcf	0	4.382	0.039	4.032	0.030	1.09	2.716	0.007	2.412	0.004	1.13
ccdg_10k	view_bcf	2	3.160	0.027	2.810	0.011	1.12	2.806	0.007	2.480	0.004	1.13
ccdg_10k	view_bcf	4	3.056	0.012	2.852	0.035	1.07	2.776	0.002	2.480	0.004	1.12
ccdg_10k	view_keep2_bcf	0	2.682	0.006	2.414	0.042	1.11	2.588	0.005	2.296	0.014	1.13
ccdg_10k	view_keep2_bcf	2	2.362	0.022	2.060	0.024	1.15	2.670	0.008	2.376	0.011	1.12
ccdg_10k	view_keep2_bcf	4	2.340	0.005	2.046	0.012	1.14	2.662	0.004	2.376	0.010	1.12
ccdg_10k	view_sites_bcf	0	2.718	0.051	2.402	0.047	1.13	2.600	0.040	2.298	0.036	1.13
ccdg_10k	view_sites_bcf	2	2.312	0.009	2.008	0.007	1.15	2.644	0.005	2.340	0.003	1.13
ccdg_10k	view_sites_bcf	4	2.310	0.005	2.020	0.015	1.14	2.634	0.002	2.338	0.006	1.13
ccdg_10k	query_sites	0	0.430	0.003	0.430	0.003	1.00	0.396	0.002	0.392	0.002	1.01
ccdg_10k	query_gt_keep2	0	0.716	0.006	0.462	0.004	1.55	0.668	0.004	0.422	0.002	1.58
ccdg_10k	query_gt_all	0	3.056	0.021	2.748	0.014	1.11	2.942	0.018	2.634	0.004	1.12
ccdg_10k	stats	0	0.470	0.004	0.486	0.009	0.97	0.432	0.002	0.434	0.002	1.00
ccdg_10k	filter_gt_keep2	0	2.994	0.016	2.668	0.012	1.12	2.872	0.007	2.572	0.002	1.12
ccdg_10k	filter_gt_keep2	2	2.690	0.031	2.330	0.011	1.15	2.988	0.024	2.654	0.005	1.13
ccdg_10k	filter_gt_keep2	4	2.632	0.012	2.330	0.018	1.13	2.952	0.004	2.662	0.020	1.11
