name	command	threads	rep	mode	real	user	sys
ccdg_10k	view_bcf	0	1	baseline	4.370000	2.710000	0.250000
ccdg_10k	view_bcf	0	1	plan	4.000000	2.410000	0.230000
ccdg_10k	view_bcf	0	2	plan	4.060000	2.420000	0.250000
ccdg_10k	view_bcf	0	2	baseline	4.490000	2.720000	0.250000
ccdg_10k	view_bcf	0	3	baseline	4.450000	2.740000	0.250000
ccdg_10k	view_bcf	0	3	plan	4.040000	2.410000	0.230000
ccdg_10k	view_bcf	0	4	plan	3.940000	2.400000	0.210000
ccdg_10k	view_bcf	0	4	baseline	4.300000	2.700000	0.230000
ccdg_10k	view_bcf	0	5	baseline	4.300000	2.710000	0.230000
ccdg_10k	view_bcf	0	5	plan	4.120000	2.420000	0.250000
ccdg_10k	view_bcf	2	1	baseline	3.110000	2.800000	0.600000
ccdg_10k	view_bcf	2	1	plan	2.790000	2.470000	0.530000
ccdg_10k	view_bcf	2	2	plan	2.820000	2.480000	0.560000
ccdg_10k	view_bcf	2	2	baseline	3.120000	2.800000	0.590000
ccdg_10k	view_bcf	2	3	baseline	3.120000	2.790000	0.580000
ccdg_10k	view_bcf	2	3	plan	2.840000	2.490000	0.560000
ccdg_10k	view_bcf	2	4	plan	2.820000	2.490000	0.550000
ccdg_10k	view_bcf	2	4	baseline	3.240000	2.830000	0.630000
ccdg_10k	view_bcf	2	5	baseline	3.210000	2.810000	0.610000
ccdg_10k	view_bcf	2	5	plan	2.780000	2.470000	0.510000
ccdg_10k	view_bcf	4	1	baseline	3.030000	2.770000	0.530000
ccdg_10k	view_bcf	4	1	plan	2.940000	2.490000	0.600000
ccdg_10k	view_bcf	4	2	plan	2.820000	2.470000	0.560000
ccdg_10k	view_bcf	4	2	baseline	3.040000	2.780000	0.550000
ccdg_10k	view_bcf	4	3	baseline	3.050000	2.770000	0.540000
ccdg_10k	view_bcf	4	3	plan	2.780000	2.480000	0.540000
ccdg_10k	view_bcf	4	4	plan	2.930000	2.490000	0.610000
ccdg_10k	view_bcf	4	4	baseline	3.100000	2.780000	0.590000
ccdg_10k	view_bcf	4	5	baseline	3.060000	2.780000	0.570000
ccdg_10k	view_bcf	4	5	plan	2.790000	2.470000	0.540000
ccdg_10k	view_keep2_bcf	0	1	baseline	2.670000	2.580000	0.040000
ccdg_10k	view_keep2_bcf	0	1	plan	2.380000	2.280000	0.050000
ccdg_10k	view_keep2_bcf	0	2	plan	2.380000	2.290000	0.040000
ccdg_10k	view_keep2_bcf	0	2	baseline	2.670000	2.580000	0.050000
ccdg_10k	view_keep2_bcf	0	3	baseline	2.700000	2.600000	0.040000
ccdg_10k	view_keep2_bcf	0	3	plan	2.360000	2.270000	0.040000
ccdg_10k	view_keep2_bcf	0	4	plan	2.370000	2.290000	0.040000
ccdg_10k	view_keep2_bcf	0	4	baseline	2.690000	2.600000	0.050000
ccdg_10k	view_keep2_bcf	0	5	baseline	2.680000	2.580000	0.050000
ccdg_10k	view_keep2_bcf	0	5	plan	2.580000	2.350000	0.050000
ccdg_10k	view_keep2_bcf	2	1	baseline	2.440000	2.700000	0.230000
ccdg_10k	view_keep2_bcf	2	1	plan	2.150000	2.410000	0.220000
ccdg_10k	view_keep2_bcf	2	2	plan	2.070000	2.390000	0.200000
ccdg_10k	view_keep2_bcf	2	2	baseline	2.310000	2.650000	0.180000
ccdg_10k	view_keep2_bcf	2	3	baseline	2.340000	2.670000	0.200000
ccdg_10k	view_keep2_bcf	2	3	plan	2.030000	2.370000	0.180000
ccdg_10k	view_keep2_bcf	2	4	plan	2.020000	2.350000	0.180000
ccdg_10k	view_keep2_bcf	2	4	baseline	2.350000	2.660000	0.190000
ccdg_10k	view_keep2_bcf	2	5	baseline	2.370000	2.670000	0.220000
ccdg_10k	view_keep2_bcf	2	5	plan	2.030000	2.360000	0.180000
ccdg_10k	view_keep2_bcf	4	1	baseline	2.340000	2.660000	0.200000
ccdg_10k	view_keep2_bcf	4	1	plan	2.070000	2.400000	0.230000
ccdg_10k	view_keep2_bcf	4	2	plan	2.040000	2.370000	0.200000
ccdg_10k	view_keep2_bcf	4	2	baseline	2.330000	2.670000	0.190000
ccdg_10k	view_keep2_bcf	4	3	baseline	2.340000	2.650000	0.190000
ccdg_10k	view_keep2_bcf	4	3	plan	2.080000	2.400000	0.200000
ccdg_10k	view_keep2_bcf	4	4	plan	2.020000	2.350000	0.180000
ccdg_10k	view_keep2_bcf	4	4	baseline	2.330000	2.670000	0.210000
ccdg_10k	view_keep2_bcf	4	5	baseline	2.360000	2.660000	0.200000
ccdg_10k	view_keep2_bcf	4	5	plan	2.020000	2.360000	0.190000
ccdg_10k	view_sites_bcf	0	1	baseline	2.620000	2.550000	0.040000
ccdg_10k	view_sites_bcf	0	1	plan	2.370000	2.270000	0.050000
ccdg_10k	view_sites_bcf	0	2	plan	2.350000	2.260000	0.040000
ccdg_10k	view_sites_bcf	0	2	baseline	2.720000	2.560000	0.100000
ccdg_10k	view_sites_bcf	0	3	baseline	2.650000	2.550000	0.040000
ccdg_10k	view_sites_bcf	0	3	plan	2.350000	2.260000	0.050000
ccdg_10k	view_sites_bcf	0	4	plan	2.350000	2.260000	0.040000
ccdg_10k	view_sites_bcf	0	4	baseline	2.690000	2.580000	0.040000
ccdg_10k	view_sites_bcf	0	5	baseline	2.910000	2.760000	0.050000
ccdg_10k	view_sites_bcf	0	5	plan	2.590000	2.440000	0.040000
ccdg_10k	view_sites_bcf	2	1	baseline	2.300000	2.630000	0.180000
ccdg_10k	view_sites_bcf	2	1	plan	1.990000	2.330000	0.170000
ccdg_10k	view_sites_bcf	2	2	plan	2.000000	2.340000	0.180000
ccdg_10k	view_sites_bcf	2	2	baseline	2.320000	2.640000	0.180000
ccdg_10k	view_sites_bcf	2	3	baseline	2.290000	2.660000	0.190000
ccdg_10k	view_sites_bcf	2	3	plan	2.010000	2.340000	0.190000
ccdg_10k	view_sites_bcf	2	4	plan	2.030000	2.350000	0.200000
ccdg_10k	view_sites_bcf	2	4	baseline	2.340000	2.650000	0.200000
ccdg_10k	view_sites_bcf	2	5	baseline	2.310000	2.640000	0.190000
ccdg_10k	view_sites_bcf	2	5	plan	2.010000	2.340000	0.180000
ccdg_10k	view_sites_bcf	4	1	baseline	2.310000	2.630000	0.190000
ccdg_10k	view_sites_bcf	4	1	plan	2.000000	2.330000	0.190000
ccdg_10k	view_sites_bcf	4	2	plan	2.010000	2.330000	0.190000
ccdg_10k	view_sites_bcf	4	2	baseline	2.320000	2.640000	0.200000
ccdg_10k	view_sites_bcf	4	3	baseline	2.310000	2.630000	0.200000
ccdg_10k	view_sites_bcf	4	3	plan	2.000000	2.330000	0.190000
ccdg_10k	view_sites_bcf	4	4	plan	2.080000	2.360000	0.250000
ccdg_10k	view_sites_bcf	4	4	baseline	2.290000	2.630000	0.190000
ccdg_10k	view_sites_bcf	4	5	baseline	2.320000	2.640000	0.190000
ccdg_10k	view_sites_bcf	4	5	plan	2.010000	2.340000	0.180000
ccdg_10k	query_sites	0	1	baseline	0.440000	0.400000	0.020000
ccdg_10k	query_sites	0	1	plan	0.440000	0.400000	0.020000
ccdg_10k	query_sites	0	2	plan	0.430000	0.390000	0.020000
ccdg_10k	query_sites	0	2	baseline	0.430000	0.400000	0.020000
ccdg_10k	query_sites	0	3	baseline	0.430000	0.400000	0.020000
ccdg_10k	query_sites	0	3	plan	0.420000	0.390000	0.020000
ccdg_10k	query_sites	0	4	plan	0.430000	0.390000	0.020000
ccdg_10k	query_sites	0	4	baseline	0.420000	0.390000	0.020000
ccdg_10k	query_sites	0	5	baseline	0.430000	0.390000	0.020000
ccdg_10k	query_sites	0	5	plan	0.430000	0.390000	0.020000
ccdg_10k	query_gt_keep2	0	1	baseline	0.710000	0.670000	0.020000
ccdg_10k	query_gt_keep2	0	1	plan	0.450000	0.420000	0.020000
ccdg_10k	query_gt_keep2	0	2	plan	0.470000	0.420000	0.020000
ccdg_10k	query_gt_keep2	0	2	baseline	0.710000	0.660000	0.020000
ccdg_10k	query_gt_keep2	0	3	baseline	0.740000	0.680000	0.030000
ccdg_10k	query_gt_keep2	0	3	plan	0.470000	0.430000	0.020000
ccdg_10k	query_gt_keep2	0	4	plan	0.460000	0.420000	0.020000
ccdg_10k	query_gt_keep2	0	4	baseline	0.710000	0.660000	0.020000
ccdg_10k	query_gt_keep2	0	5	baseline	0.710000	0.670000	0.020000
ccdg_10k	query_gt_keep2	0	5	plan	0.460000	0.420000	0.020000
ccdg_10k	query_gt_all	0	1	baseline	3.030000	2.920000	0.060000
ccdg_10k	query_gt_all	0	1	plan	2.790000	2.630000	0.060000
ccdg_10k	query_gt_all	0	2	plan	2.720000	2.630000	0.050000
ccdg_10k	query_gt_all	0	2	baseline	3.010000	2.910000	0.050000
ccdg_10k	query_gt_all	0	3	baseline	3.030000	2.930000	0.050000
ccdg_10k	query_gt_all	0	3	plan	2.770000	2.650000	0.060000
ccdg_10k	query_gt_all	0	4	plan	2.730000	2.630000	0.060000
ccdg_10k	query_gt_all	0	4	baseline	3.090000	2.940000	0.060000
ccdg_10k	query_gt_all	0	5	baseline	3.120000	3.010000	0.060000
ccdg_10k	query_gt_all	0	5	plan	2.730000	2.630000	0.060000
ccdg_10k	stats	0	1	baseline	0.460000	0.430000	0.020000
ccdg_10k	stats	0	1	plan	0.500000	0.440000	0.020000
ccdg_10k	stats	0	2	plan	0.500000	0.430000	0.020000
ccdg_10k	stats	0	2	baseline	0.480000	0.430000	0.020000
ccdg_10k	stats	0	3	baseline	0.480000	0.430000	0.020000
ccdg_10k	stats	0	3	plan	0.500000	0.430000	0.020000
ccdg_10k	stats	0	4	plan	0.470000	0.440000	0.020000
ccdg_10k	stats	0	4	baseline	0.460000	0.430000	0.020000
ccdg_10k	stats	0	5	baseline	0.470000	0.440000	0.020000
ccdg_10k	stats	0	5	plan	0.460000	0.430000	0.020000
ccdg_10k	filter_gt_keep2	0	1	baseline	2.990000	2.870000	0.060000
ccdg_10k	filter_gt_keep2	0	1	plan	2.680000	2.580000	0.040000
ccdg_10k	filter_gt_keep2	0	2	plan	2.670000	2.570000	0.040000
ccdg_10k	filter_gt_keep2	0	2	baseline	2.950000	2.850000	0.050000
ccdg_10k	filter_gt_keep2	0	3	baseline	2.970000	2.870000	0.050000
ccdg_10k	filter_gt_keep2	0	3	plan	2.660000	2.570000	0.040000
ccdg_10k	filter_gt_keep2	0	4	plan	2.700000	2.570000	0.050000
ccdg_10k	filter_gt_keep2	0	4	baseline	3.040000	2.890000	0.060000
ccdg_10k	filter_gt_keep2	0	5	baseline	3.020000	2.880000	0.060000
ccdg_10k	filter_gt_keep2	0	5	plan	2.630000	2.570000	0.040000
ccdg_10k	filter_gt_keep2	2	1	baseline	2.660000	2.980000	0.220000
ccdg_10k	filter_gt_keep2	2	1	plan	2.290000	2.640000	0.190000
ccdg_10k	filter_gt_keep2	2	2	plan	2.350000	2.650000	0.200000
ccdg_10k	filter_gt_keep2	2	2	baseline	2.620000	2.930000	0.190000
ccdg_10k	filter_gt_keep2	2	3	baseline	2.790000	3.070000	0.230000
