name	command	threads	rep	mode	cksum	bytes
large_float_string_2048s	view_bcf	0	1	baseline	1548083848	1213900577
large_float_string_2048s	view_bcf	0	1	plan	1548083848	1213900577
large_float_string_2048s	view_bcf	0	2	plan	1548083848	1213900577
large_float_string_2048s	view_bcf	0	2	baseline	1548083848	1213900577
large_float_string_2048s	view_bcf	0	3	baseline	1548083848	1213900577
large_float_string_2048s	view_bcf	0	3	plan	1548083848	1213900577
large_float_string_2048s	view_bcf	0	4	plan	1548083848	1213900577
large_float_string_2048s	view_bcf	0	4	baseline	1548083848	1213900577
large_float_string_2048s	view_bcf	0	5	baseline	1548083848	1213900577
large_float_string_2048s	view_bcf	0	5	plan	1548083848	1213900577
large_float_string_2048s	view_keep2_bcf	0	1	baseline	1571957157	2226476
large_float_string_2048s	view_keep2_bcf	0	1	plan	1571957157	2226476
large_float_string_2048s	view_keep2_bcf	0	2	plan	1571957157	2226476
large_float_string_2048s	view_keep2_bcf	0	2	baseline	1571957157	2226476
large_float_string_2048s	view_keep2_bcf	0	3	baseline	1571957157	2226476
large_float_string_2048s	view_keep2_bcf	0	3	plan	1571957157	2226476
large_float_string_2048s	view_keep2_bcf	0	4	plan	1571957157	2226476
large_float_string_2048s	view_keep2_bcf	0	4	baseline	1571957157	2226476
large_float_string_2048s	view_keep2_bcf	0	5	baseline	1571957157	2226476
large_float_string_2048s	view_keep2_bcf	0	5	plan	1571957157	2226476
large_float_string_2048s	view_sites_bcf	0	1	baseline	1272348200	656570
large_float_string_2048s	view_sites_bcf	0	1	plan	1272348200	656570
large_float_string_2048s	view_sites_bcf	0	2	plan	1272348200	656570
large_float_string_2048s	view_sites_bcf	0	2	baseline	1272348200	656570
large_float_string_2048s	view_sites_bcf	0	3	baseline	1272348200	656570
large_float_string_2048s	view_sites_bcf	0	3	plan	1272348200	656570
large_float_string_2048s	view_sites_bcf	0	4	plan	1272348200	656570
large_float_string_2048s	view_sites_bcf	0	4	baseline	1272348200	656570
large_float_string_2048s	view_sites_bcf	0	5	baseline	1272348200	656570
large_float_string_2048s	view_sites_bcf	0	5	plan	1272348200	656570
large_float_string_2048s	query_sites	0	1	baseline	2749948584	336000
large_float_string_2048s	query_sites	0	1	plan	2749948584	336000
large_float_string_2048s	query_sites	0	2	plan	2749948584	336000
large_float_string_2048s	query_sites	0	2	baseline	2749948584	336000
large_float_string_2048s	query_sites	0	3	baseline	2749948584	336000
large_float_string_2048s	query_sites	0	3	plan	2749948584	336000
large_float_string_2048s	query_sites	0	4	plan	2749948584	336000
large_float_string_2048s	query_sites	0	4	baseline	2749948584	336000
large_float_string_2048s	query_sites	0	5	baseline	2749948584	336000
large_float_string_2048s	query_sites	0	5	plan	2749948584	336000
large_float_string_2048s	query_gt_keep2	0	1	baseline	3093455554	368000
large_float_string_2048s	query_gt_keep2	0	1	plan	3093455554	368000
large_float_string_2048s	query_gt_keep2	0	2	plan	3093455554	368000
large_float_string_2048s	query_gt_keep2	0	2	baseline	3093455554	368000
large_float_string_2048s	query_gt_keep2	0	3	baseline	3093455554	368000
large_float_string_2048s	query_gt_keep2	0	3	plan	3093455554	368000
large_float_string_2048s	query_gt_keep2	0	4	plan	3093455554	368000
large_float_string_2048s	query_gt_keep2	0	4	baseline	3093455554	368000
large_float_string_2048s	query_gt_keep2	0	5	baseline	3093455554	368000
large_float_string_2048s	query_gt_keep2	0	5	plan	3093455554	368000
large_float_string_2048s	query_gt_all	0	1	baseline	1488755258	131312000
large_float_string_2048s	query_gt_all	0	1	plan	1488755258	131312000
large_float_string_2048s	query_gt_all	0	2	plan	1488755258	131312000
large_float_string_2048s	query_gt_all	0	2	baseline	1488755258	131312000
large_float_string_2048s	query_gt_all	0	3	baseline	1488755258	131312000
large_float_string_2048s	query_gt_all	0	3	plan	1488755258	131312000
large_float_string_2048s	query_gt_all	0	4	plan	1488755258	131312000
large_float_string_2048s	query_gt_all	0	4	baseline	1488755258	131312000
large_float_string_2048s	query_gt_all	0	5	baseline	1488755258	131312000
large_float_string_2048s	query_gt_all	0	5	plan	1488755258	131312000
large_float_string_2048s	stats	0	1	baseline	323473624	3583
large_float_string_2048s	stats	0	1	plan	323473624	3583
large_float_string_2048s	stats	0	2	plan	323473624	3583
large_float_string_2048s	stats	0	2	baseline	323473624	3583
large_float_string_2048s	stats	0	3	baseline	323473624	3583
large_float_string_2048s	stats	0	3	plan	323473624	3583
large_float_string_2048s	stats	0	4	plan	323473624	3583
large_float_string_2048s	stats	0	4	baseline	323473624	3583
large_float_string_2048s	stats	0	5	baseline	323473624	3583
large_float_string_2048s	stats	0	5	plan	323473624	3583
large_float_string_2048s	filter_gt_keep2	0	1	baseline	1571957157	2226476
large_float_string_2048s	filter_gt_keep2	0	1	plan	1571957157	2226476
large_float_string_2048s	filter_gt_keep2	0	2	plan	1571957157	2226476
large_float_string_2048s	filter_gt_keep2	0	2	baseline	1571957157	2226476
large_float_string_2048s	filter_gt_keep2	0	3	baseline	1571957157	2226476
large_float_string_2048s	filter_gt_keep2	0	3	plan	1571957157	2226476
large_float_string_2048s	filter_gt_keep2	0	4	plan	1571957157	2226476
large_float_string_2048s	filter_gt_keep2	0	4	baseline	1571957157	2226476
large_float_string_2048s	filter_gt_keep2	0	5	baseline	1571957157	2226476
large_float_string_2048s	filter_gt_keep2	0	5	plan	1571957157	2226476
