name	baseline_real_mean	baseline_real_se	plan_real_mean	plan_real_se	real_speedup	baseline_user_mean	baseline_user_se	plan_user_mean	plan_user_se	user_speedup	plan_attempts	plan_hits	plan_fallback	plan_parsed_samples
ccdg_10k	2.928	0.012	2.682	0.068	1.09	2.640	0.003	2.356	0.012	1.12	10000	9861	139	31574922
1000g_chr22_full_genotypes	28.092	0.189	11.980	0.166	2.34	26.174	0.127	10.750	0.136	2.43	1103547	1103547	0	2763281688
large_ccdg_likelihood_2048s	4.576	0.030	4.148	0.021	1.10	4.208	0.024	3.824	0.014	1.10	20000	20000	0	40960000
large_reordered_likelihood_2048s	3.252	0.010	2.744	0.007	1.19	3.022	0.005	2.532	0.005	1.19	20000	20000	0	40960000
large_multiallelic_likelihood_2048s	3.492	0.017	3.116	0.007	1.12	3.238	0.007	2.860	0.004	1.13	16000	16000	0	32768000
large_float_string_2048s	3.386	0.044	3.342	0.031	1.01	3.026	0.014	3.022	0.022	1.00	16000	0	16000	0
large_phase_width_variation_2048s	2.982	0.009	2.834	0.010	1.05	2.680	0.004	2.536	0.005	1.06	12000	12000	0	24576000
large_mixed_likelihood_2048s	2.424	0.010	2.116	0.010	1.15	2.238	0.005	1.952	0.004	1.15	12000	12000	0	24576000
large_gt_first_reordered_2048s	1.938	0.005	1.612	0.004	1.20	1.778	0.002	1.488	0.002	1.19	12000	12000	0	24576000
large_two_string_float_2048s	2.608	0.009	2.608	0.010	1.00	2.344	0.005	2.340	0.005	1.00	12000	0	12000	0
