name	command	threads	mode	real	user	sys
ccdg_10k	view_bcf	0	baseline	2.87	2.59	0.2
ccdg_10k	view_bcf	0	plan	2.56	2.3	0.19
ccdg_10k	view_sites	0	baseline	2.72	2.58	0.11
ccdg_10k	view_sites	0	plan	2.49	2.29	0.18
ccdg_10k	query_sites	0	baseline	0.43	0.4	0.02
ccdg_10k	query_sites	0	plan	0.5	0.39	0.02
ccdg_10k	query_format	0	baseline	0.7	0.67	0.02
ccdg_10k	query_format	0	plan	0.45	0.42	0.02
ccdg_10k	stats	0	baseline	0.47	0.43	0.02
ccdg_10k	stats	0	plan	0.46	0.43	0.02
ccdg_10k	filter_gt	0	baseline	2.98	2.86	0.05
ccdg_10k	filter_gt	0	plan	2.65	2.56	0.05
1000g_chr22_full_genotypes	view_bcf	0	baseline	28.43	26.44	1.08
1000g_chr22_full_genotypes	view_bcf	0	plan	11.26	9.98	0.86
1000g_chr22_full_genotypes	view_sites	0	baseline	27.1	26.23	0.28
1000g_chr22_full_genotypes	view_sites	0	plan	10	9.69	0.14
1000g_chr22_full_genotypes	query_sites	0	baseline	2.57	2.47	0.07
1000g_chr22_full_genotypes	query_sites	0	plan	2.58	2.47	0.08
1000g_chr22_full_genotypes	query_format	0	baseline	5.95	5.74	0.11
1000g_chr22_full_genotypes	query_format	0	plan	3.07	2.92	0.09
1000g_chr22_full_genotypes	stats	0	baseline	3.05	2.93	0.06
1000g_chr22_full_genotypes	stats	0	plan	3.03	2.93	0.06
1000g_chr22_full_genotypes	filter_gt	0	baseline	50.18	49.17	0.41
1000g_chr22_full_genotypes	filter_gt	0	plan	33.42	32.67	0.29
large_reordered_likelihood_2048s	view_bcf	0	baseline	3.26	2.98	0.15
large_reordered_likelihood_2048s	view_bcf	0	plan	2.72	2.5	0.13
large_reordered_likelihood_2048s	view_sites	0	baseline	3.12	2.98	0.1
large_reordered_likelihood_2048s	view_sites	0	plan	2.61	2.48	0.05
large_reordered_likelihood_2048s	query_sites	0	baseline	0.83	0.76	0.04
large_reordered_likelihood_2048s	query_sites	0	plan	0.82	0.76	0.04
large_reordered_likelihood_2048s	query_format	0	baseline	1.2	1.11	0.04
large_reordered_likelihood_2048s	query_format	0	plan	0.86	0.77	0.04
large_reordered_likelihood_2048s	stats	0	baseline	0.82	0.76	0.04
large_reordered_likelihood_2048s	stats	0	plan	0.83	0.76	0.04
large_reordered_likelihood_2048s	filter_gt	0	baseline	3.55	3.42	0.07
large_reordered_likelihood_2048s	filter_gt	0	plan	3.12	3	0.06
large_float_string_2048s	view_bcf	0	baseline	3.38	3	0.25
large_float_string_2048s	view_bcf	0	plan	3.54	3.07	0.24
large_float_string_2048s	view_sites	0	baseline	3.12	2.96	0.08
large_float_string_2048s	view_sites	0	plan	3.06	2.94	0.05
large_float_string_2048s	query_sites	0	baseline	0.55	0.5	0.03
large_float_string_2048s	query_sites	0	plan	0.54	0.5	0.03
large_float_string_2048s	query_format	0	baseline	1.02	0.96	0.03
large_float_string_2048s	query_format	0	plan	1.21	1.02	0.05
large_float_string_2048s	stats	0	baseline	0.61	0.51	0.04
large_float_string_2048s	stats	0	plan	0.62	0.52	0.04
large_float_string_2048s	filter_gt	0	baseline	3.6	3.36	0.07
large_float_string_2048s	filter_gt	0	plan	3.48	3.36	0.05
gnomad_sites_chr22	view_bcf	0	baseline	0.62	0.44	0.07
gnomad_sites_chr22	view_bcf	0	plan	0.58	0.45	0.08
gnomad_sites_chr22	view_sites	0	baseline	0.52	0.43	0.06
gnomad_sites_chr22	view_sites	0	plan	0.6	0.45	0.07
gnomad_sites_chr22	query_sites	0	baseline	0.15	0.14	0.01
gnomad_sites_chr22	query_sites	0	plan	0.18	0.14	0.01
gnomad_sites_chr22	stats	0	baseline	0.46	0.44	0.01
gnomad_sites_chr22	stats	0	plan	0.49	0.46	0.01
