name	command	threads	baseline_real	plan_real	real_speedup	baseline_user	plan_user	user_speedup
ccdg_10k	view_bcf	0	2.870	2.560	1.12	2.590	2.300	1.13
ccdg_10k	view_sites	0	2.720	2.490	1.09	2.580	2.290	1.13
ccdg_10k	query_sites	0	0.430	0.500	0.86	0.400	0.390	1.03
ccdg_10k	query_format	0	0.700	0.450	1.56	0.670	0.420	1.60
ccdg_10k	stats	0	0.470	0.460	1.02	0.430	0.430	1.00
ccdg_10k	filter_gt	0	2.980	2.650	1.12	2.860	2.560	1.12
1000g_chr22_full_genotypes	view_bcf	0	28.430	11.260	2.52	26.440	9.980	2.65
1000g_chr22_full_genotypes	view_sites	0	27.100	10.000	2.71	26.230	9.690	2.71
1000g_chr22_full_genotypes	query_sites	0	2.570	2.580	1.00	2.470	2.470	1.00
1000g_chr22_full_genotypes	query_format	0	5.950	3.070	1.94	5.740	2.920	1.97
1000g_chr22_full_genotypes	stats	0	3.050	3.030	1.01	2.930	2.930	1.00
1000g_chr22_full_genotypes	filter_gt	0	50.180	33.420	1.50	49.170	32.670	1.51
large_reordered_likelihood_2048s	view_bcf	0	3.260	2.720	1.20	2.980	2.500	1.19
large_reordered_likelihood_2048s	view_sites	0	3.120	2.610	1.20	2.980	2.480	1.20
large_reordered_likelihood_2048s	query_sites	0	0.830	0.820	1.01	0.760	0.760	1.00
large_reordered_likelihood_2048s	query_format	0	1.200	0.860	1.40	1.110	0.770	1.44
large_reordered_likelihood_2048s	stats	0	0.820	0.830	0.99	0.760	0.760	1.00
large_reordered_likelihood_2048s	filter_gt	0	3.550	3.120	1.14	3.420	3.000	1.14
large_float_string_2048s	view_bcf	0	3.380	3.540	0.95	3.000	3.070	0.98
large_float_string_2048s	view_sites	0	3.120	3.060	1.02	2.960	2.940	1.01
large_float_string_2048s	query_sites	0	0.550	0.540	1.02	0.500	0.500	1.00
large_float_string_2048s	query_format	0	1.020	1.210	0.84	0.960	1.020	0.94
large_float_string_2048s	stats	0	0.610	0.620	0.98	0.510	0.520	0.98
large_float_string_2048s	filter_gt	0	3.600	3.480	1.03	3.360	3.360	1.00
gnomad_sites_chr22	view_bcf	0	0.620	0.580	1.07	0.440	0.450	0.98
gnomad_sites_chr22	view_sites	0	0.520	0.600	0.87	0.430	0.450	0.96
gnomad_sites_chr22	query_sites	0	0.150	0.180	0.83	0.140	0.140	1.00
gnomad_sites_chr22	stats	0	0.460	0.490	0.94	0.440	0.460	0.96
