name	command	threads	rep	comparison	status
1000g_chr22_full_genotypes	view_bcf	0	1	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_bcf	0	2	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_bcf	0	3	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_bcf	0	4	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_bcf	0	5	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_bcf	2	1	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_bcf	2	2	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_bcf	2	3	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_bcf	2	4	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_bcf	2	5	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_bcf	4	1	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_bcf	4	2	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_bcf	4	3	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_bcf	4	4	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_bcf	4	5	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_keep2_bcf	0	1	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_keep2_bcf	0	2	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_keep2_bcf	0	3	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_keep2_bcf	0	4	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_keep2_bcf	0	5	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_keep2_bcf	2	1	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_keep2_bcf	2	2	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_keep2_bcf	2	3	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_keep2_bcf	2	4	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_keep2_bcf	2	5	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_keep2_bcf	4	1	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_keep2_bcf	4	2	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_keep2_bcf	4	3	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_keep2_bcf	4	4	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_keep2_bcf	4	5	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_sites_bcf	0	1	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_sites_bcf	0	2	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_sites_bcf	0	3	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_sites_bcf	0	4	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_sites_bcf	0	5	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_sites_bcf	2	1	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_sites_bcf	2	2	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_sites_bcf	2	3	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_sites_bcf	2	4	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_sites_bcf	2	5	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_sites_bcf	4	1	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_sites_bcf	4	2	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_sites_bcf	4	3	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_sites_bcf	4	4	baseline_vs_plan	ok
1000g_chr22_full_genotypes	view_sites_bcf	4	5	baseline_vs_plan	ok
1000g_chr22_full_genotypes	query_sites	0	1	baseline_vs_plan	ok
1000g_chr22_full_genotypes	query_sites	0	2	baseline_vs_plan	ok
1000g_chr22_full_genotypes	query_sites	0	3	baseline_vs_plan	ok
1000g_chr22_full_genotypes	query_sites	0	4	baseline_vs_plan	ok
1000g_chr22_full_genotypes	query_sites	0	5	baseline_vs_plan	ok
1000g_chr22_full_genotypes	query_gt_keep2	0	1	baseline_vs_plan	ok
1000g_chr22_full_genotypes	query_gt_keep2	0	2	baseline_vs_plan	ok
1000g_chr22_full_genotypes	query_gt_keep2	0	3	baseline_vs_plan	ok
1000g_chr22_full_genotypes	query_gt_keep2	0	4	baseline_vs_plan	ok
