rep	name	comparison	status
1	ccdg_10k	baseline_vs_plan	ok
1	1000g_chr22_full_genotypes	baseline_vs_plan	ok
1	large_ccdg_likelihood_2048s	baseline_vs_plan	ok
1	large_reordered_likelihood_2048s	baseline_vs_plan	ok
1	large_multiallelic_likelihood_2048s	baseline_vs_plan	ok
1	large_float_string_2048s	baseline_vs_plan	ok
1	large_phase_width_variation_2048s	baseline_vs_plan	ok
1	large_mixed_likelihood_2048s	baseline_vs_plan	ok
1	large_gt_first_reordered_2048s	baseline_vs_plan	ok
1	large_two_string_float_2048s	baseline_vs_plan	ok
2	ccdg_10k	baseline_vs_plan	ok
2	1000g_chr22_full_genotypes	baseline_vs_plan	ok
2	large_ccdg_likelihood_2048s	baseline_vs_plan	ok
2	large_reordered_likelihood_2048s	baseline_vs_plan	ok
2	large_multiallelic_likelihood_2048s	baseline_vs_plan	ok
2	large_float_string_2048s	baseline_vs_plan	ok
2	large_phase_width_variation_2048s	baseline_vs_plan	ok
2	large_mixed_likelihood_2048s	baseline_vs_plan	ok
2	large_gt_first_reordered_2048s	baseline_vs_plan	ok
2	large_two_string_float_2048s	baseline_vs_plan	ok
3	ccdg_10k	baseline_vs_plan	ok
3	1000g_chr22_full_genotypes	baseline_vs_plan	ok
3	large_ccdg_likelihood_2048s	baseline_vs_plan	ok
3	large_reordered_likelihood_2048s	baseline_vs_plan	ok
3	large_multiallelic_likelihood_2048s	baseline_vs_plan	ok
3	large_float_string_2048s	baseline_vs_plan	ok
3	large_phase_width_variation_2048s	baseline_vs_plan	ok
3	large_mixed_likelihood_2048s	baseline_vs_plan	ok
3	large_gt_first_reordered_2048s	baseline_vs_plan	ok
3	large_two_string_float_2048s	baseline_vs_plan	ok
4	ccdg_10k	baseline_vs_plan	ok
4	1000g_chr22_full_genotypes	baseline_vs_plan	ok
4	large_ccdg_likelihood_2048s	baseline_vs_plan	ok
4	large_reordered_likelihood_2048s	baseline_vs_plan	ok
4	large_multiallelic_likelihood_2048s	baseline_vs_plan	ok
4	large_float_string_2048s	baseline_vs_plan	ok
4	large_phase_width_variation_2048s	baseline_vs_plan	ok
4	large_mixed_likelihood_2048s	baseline_vs_plan	ok
4	large_gt_first_reordered_2048s	baseline_vs_plan	ok
4	large_two_string_float_2048s	baseline_vs_plan	ok
5	ccdg_10k	baseline_vs_plan	ok
5	1000g_chr22_full_genotypes	baseline_vs_plan	ok
5	large_ccdg_likelihood_2048s	baseline_vs_plan	ok
5	large_reordered_likelihood_2048s	baseline_vs_plan	ok
5	large_multiallelic_likelihood_2048s	baseline_vs_plan	ok
5	large_float_string_2048s	baseline_vs_plan	ok
5	large_phase_width_variation_2048s	baseline_vs_plan	ok
5	large_mixed_likelihood_2048s	baseline_vs_plan	ok
5	large_gt_first_reordered_2048s	baseline_vs_plan	ok
5	large_two_string_float_2048s	baseline_vs_plan	ok
