name	command	threads	rep	mode	real	user	sys
1000g_chr22_full_gt	view_bcf	0	1	baseline	32.250000	26.440000	1.100000
1000g_chr22_full_gt	view_bcf	0	1	plan	15.990000	10.430000	0.920000
1000g_chr22_full_gt	view_bcf	0	2	plan	16.060000	10.310000	0.980000
1000g_chr22_full_gt	view_bcf	0	2	baseline	32.960000	26.390000	1.230000
1000g_chr22_full_gt	view_bcf	0	3	baseline	32.120000	26.250000	1.080000
1000g_chr22_full_gt	view_bcf	0	3	plan	15.830000	10.210000	0.910000
1000g_chr22_full_gt	view_bcf	0	4	plan	15.880000	10.270000	0.910000
1000g_chr22_full_gt	view_bcf	0	4	baseline	31.900000	26.080000	1.060000
1000g_chr22_full_gt	view_bcf	0	5	baseline	33.000000	26.760000	1.180000
1000g_chr22_full_gt	view_bcf	0	5	plan	15.950000	10.330000	1.000000
1000g_chr22_full_gt	view_bcf	2	1	baseline	25.400000	27.690000	3.230000
1000g_chr22_full_gt	view_bcf	2	1	plan	12.260000	11.770000	2.580000
1000g_chr22_full_gt	view_bcf	2	2	plan	12.360000	12.150000	2.450000
1000g_chr22_full_gt	view_bcf	2	2	baseline	26.050000	28.430000	2.980000
1000g_chr22_full_gt	view_bcf	2	3	baseline	25.460000	27.840000	3.020000
1000g_chr22_full_gt	view_bcf	2	3	plan	12.360000	11.700000	2.420000
1000g_chr22_full_gt	view_bcf	2	4	plan	12.310000	12.100000	2.490000
1000g_chr22_full_gt	view_bcf	2	4	baseline	25.980000	28.380000	2.990000
1000g_chr22_full_gt	view_bcf	2	5	baseline	25.830000	28.220000	2.990000
1000g_chr22_full_gt	view_bcf	2	5	plan	12.430000	12.040000	2.430000
1000g_chr22_full_gt	view_bcf	4	1	baseline	25.630000	28.110000	3.010000
1000g_chr22_full_gt	view_bcf	4	1	plan	12.360000	11.770000	2.450000
1000g_chr22_full_gt	view_bcf	4	2	plan	12.310000	12.040000	2.480000
1000g_chr22_full_gt	view_bcf	4	2	baseline	25.920000	28.310000	2.960000
1000g_chr22_full_gt	view_bcf	4	3	baseline	25.880000	28.290000	2.970000
1000g_chr22_full_gt	view_bcf	4	3	plan	12.240000	11.790000	2.560000
1000g_chr22_full_gt	view_bcf	4	4	plan	12.360000	12.000000	2.500000
1000g_chr22_full_gt	view_bcf	4	4	baseline	25.790000	28.190000	2.990000
1000g_chr22_full_gt	view_bcf	4	5	baseline	25.690000	28.110000	2.930000
1000g_chr22_full_gt	view_bcf	4	5	plan	12.370000	11.790000	2.460000
1000g_chr22_full_gt	view_keep2_bcf	0	1	baseline	27.560000	26.690000	0.300000
1000g_chr22_full_gt	view_keep2_bcf	0	1	plan	13.170000	10.800000	0.280000
1000g_chr22_full_gt	view_keep2_bcf	0	2	plan	11.080000	10.560000	0.230000
1000g_chr22_full_gt	view_keep2_bcf	0	2	baseline	27.410000	26.730000	0.320000
1000g_chr22_full_gt	view_keep2_bcf	0	3	baseline	27.140000	26.570000	0.310000
1000g_chr22_full_gt	view_keep2_bcf	0	3	plan	10.740000	10.390000	0.170000
1000g_chr22_full_gt	view_keep2_bcf	0	4	plan	10.500000	10.170000	0.160000
1000g_chr22_full_gt	view_keep2_bcf	0	4	baseline	26.940000	26.340000	0.330000
1000g_chr22_full_gt	view_keep2_bcf	0	5	baseline	26.800000	26.240000	0.310000
1000g_chr22_full_gt	view_keep2_bcf	0	5	plan	10.690000	10.350000	0.170000
1000g_chr22_full_gt	view_keep2_bcf	2	1	baseline	25.720000	27.760000	1.520000
1000g_chr22_full_gt	view_keep2_bcf	2	1	plan	9.670000	11.900000	1.360000
1000g_chr22_full_gt	view_keep2_bcf	2	2	plan	9.680000	11.940000	1.380000
1000g_chr22_full_gt	view_keep2_bcf	2	2	baseline	26.420000	28.180000	1.570000
1000g_chr22_full_gt	view_keep2_bcf	2	3	baseline	25.650000	27.740000	1.460000
1000g_chr22_full_gt	view_keep2_bcf	2	3	plan	9.620000	11.860000	1.320000
1000g_chr22_full_gt	view_keep2_bcf	2	4	plan	9.730000	12.060000	1.330000
1000g_chr22_full_gt	view_keep2_bcf	2	4	baseline	25.860000	27.970000	1.440000
1000g_chr22_full_gt	view_keep2_bcf	2	5	baseline	26.040000	28.130000	1.460000
1000g_chr22_full_gt	view_keep2_bcf	2	5	plan	9.740000	12.020000	1.250000
1000g_chr22_full_gt	view_keep2_bcf	4	1	baseline	26.050000	28.150000	1.470000
1000g_chr22_full_gt	view_keep2_bcf	4	1	plan	9.420000	11.670000	1.360000
1000g_chr22_full_gt	view_keep2_bcf	4	2	plan	9.310000	11.600000	1.240000
1000g_chr22_full_gt	view_keep2_bcf	4	2	baseline	25.940000	28.050000	1.460000
1000g_chr22_full_gt	view_keep2_bcf	4	3	baseline	25.860000	27.960000	1.470000
1000g_chr22_full_gt	view_keep2_bcf	4	3	plan	9.690000	11.990000	1.250000
1000g_chr22_full_gt	view_keep2_bcf	4	4	plan	9.550000	11.850000	1.270000
1000g_chr22_full_gt	view_keep2_bcf	4	4	baseline	26.130000	28.250000	1.440000
1000g_chr22_full_gt	view_keep2_bcf	4	5	baseline	25.610000	27.740000	1.440000
1000g_chr22_full_gt	view_keep2_bcf	4	5	plan	9.640000	11.950000	1.240000
1000g_chr22_full_gt	view_sites_bcf	0	1	baseline	25.890000	25.430000	0.270000
1000g_chr22_full_gt	view_sites_bcf	0	1	plan	9.970000	9.680000	0.140000
1000g_chr22_full_gt	view_sites_bcf	0	2	plan	9.870000	9.580000	0.140000
1000g_chr22_full_gt	view_sites_bcf	0	2	baseline	25.810000	25.350000	0.260000
1000g_chr22_full_gt	view_sites_bcf	0	3	baseline	26.010000	25.540000	0.270000
1000g_chr22_full_gt	view_sites_bcf	0	3	plan	10.190000	9.860000	0.160000
1000g_chr22_full_gt	view_sites_bcf	0	4	plan	10.210000	9.880000	0.160000
1000g_chr22_full_gt	view_sites_bcf	0	4	baseline	26.640000	26.080000	0.270000
1000g_chr22_full_gt	view_sites_bcf	0	5	baseline	26.880000	26.270000	0.330000
1000g_chr22_full_gt	view_sites_bcf	0	5	plan	10.300000	9.900000	0.200000
1000g_chr22_full_gt	view_sites_bcf	2	1	baseline	25.200000	27.110000	1.670000
1000g_chr22_full_gt	view_sites_bcf	2	1	plan	9.080000	11.350000	1.270000
1000g_chr22_full_gt	view_sites_bcf	2	2	plan	9.190000	11.490000	1.240000
1000g_chr22_full_gt	view_sites_bcf	2	2	baseline	25.370000	27.380000	1.560000
1000g_chr22_full_gt	view_sites_bcf	2	3	baseline	25.010000	27.090000	1.480000
1000g_chr22_full_gt	view_sites_bcf	2	3	plan	9.200000	11.470000	1.270000
1000g_chr22_full_gt	view_sites_bcf	2	4	plan	9.060000	11.310000	1.320000
1000g_chr22_full_gt	view_sites_bcf	2	4	baseline	25.490000	27.650000	1.550000
1000g_chr22_full_gt	view_sites_bcf	2	5	baseline	24.890000	26.960000	1.490000
1000g_chr22_full_gt	view_sites_bcf	2	5	plan	8.850000	11.070000	1.330000
1000g_chr22_full_gt	view_sites_bcf	4	1	baseline	24.840000	26.940000	1.450000
1000g_chr22_full_gt	view_sites_bcf	4	1	plan	8.990000	11.270000	1.430000
1000g_chr22_full_gt	view_sites_bcf	4	2	plan	9.010000	11.260000	1.360000
1000g_chr22_full_gt	view_sites_bcf	4	2	baseline	25.470000	27.400000	1.740000
1000g_chr22_full_gt	view_sites_bcf	4	3	baseline	25.100000	27.100000	1.570000
1000g_chr22_full_gt	view_sites_bcf	4	3	plan	9.020000	11.320000	1.200000
1000g_chr22_full_gt	view_sites_bcf	4	4	plan	8.950000	11.220000	1.240000
1000g_chr22_full_gt	view_sites_bcf	4	4	baseline	25.350000	27.420000	1.500000
1000g_chr22_full_gt	view_sites_bcf	4	5	baseline	25.660000	27.440000	1.720000
1000g_chr22_full_gt	view_sites_bcf	4	5	plan	9.070000	11.310000	1.380000
1000g_chr22_full_gt	query_sites	0	1	baseline	2.570000	2.460000	0.070000
1000g_chr22_full_gt	query_sites	0	1	plan	2.550000	2.460000	0.060000
1000g_chr22_full_gt	query_sites	0	2	plan	2.550000	2.460000	0.070000
1000g_chr22_full_gt	query_sites	0	2	baseline	2.550000	2.450000	0.070000
1000g_chr22_full_gt	query_sites	0	3	baseline	2.530000	2.450000	0.060000
1000g_chr22_full_gt	query_sites	0	3	plan	2.550000	2.470000	0.060000
1000g_chr22_full_gt	query_sites	0	4	plan	2.530000	2.460000	0.060000
1000g_chr22_full_gt	query_sites	0	4	baseline	2.570000	2.480000	0.060000
1000g_chr22_full_gt	query_sites	0	5	baseline	2.550000	2.480000	0.050000
1000g_chr22_full_gt	query_sites	0	5	plan	2.540000	2.450000	0.060000
1000g_chr22_full_gt	query_gt_keep2	0	1	baseline	5.900000	5.740000	0.100000
1000g_chr22_full_gt	query_gt_keep2	0	1	plan	3.050000	2.910000	0.080000
1000g_chr22_full_gt	query_gt_keep2	0	2	plan	2.940000	2.850000	0.060000
1000g_chr22_full_gt	query_gt_keep2	0	2	baseline	5.830000	5.670000	0.100000
1000g_chr22_full_gt	query_gt_keep2	0	3	baseline	5.710000	5.610000	0.080000
1000g_chr22_full_gt	query_gt_keep2	0	3	plan	2.910000	2.830000	0.060000
1000g_chr22_full_gt	query_gt_keep2	0	4	plan	2.920000	2.850000	0.060000
1000g_chr22_full_gt	query_gt_keep2	0	4	baseline	6.030000	5.900000	0.090000
1000g_chr22_full_gt	query_gt_keep2	0	5	baseline	5.710000	5.620000	0.070000
1000g_chr22_full_gt	query_gt_keep2	0	5	plan	2.910000	2.840000	0.060000
1000g_chr22_full_gt	query_gt_all	0	1	baseline	59.400000	57.930000	1.320000
1000g_chr22_full_gt	query_gt_all	0	1	plan	43.250000	41.620000	1.200000
