rep	name	mode	real	user	sys	attempts	hits	fallback	parsed_samples
1	ccdg_10k	baseline	2.96	2.65	0.2	0	0	0	0
1	ccdg_10k	plan	2.61	2.35	0.2	10000	9861	139	31574922
1	1000g_chr22_full_genotypes	baseline	28.26	26.37	1.17	0	0	0	0
1	1000g_chr22_full_genotypes	plan	12.57	11.23	0.95	1103547	1103547	0	2763281688
1	large_ccdg_likelihood_2048s	baseline	4.57	4.21	0.24	0	0	0	0
1	large_ccdg_likelihood_2048s	plan	4.13	3.82	0.23	20000	20000	0	40960000
1	large_reordered_likelihood_2048s	baseline	3.28	3.03	0.15	0	0	0	0
1	large_reordered_likelihood_2048s	plan	2.74	2.54	0.14	20000	20000	0	40960000
1	large_multiallelic_likelihood_2048s	baseline	3.45	3.22	0.17	0	0	0	0
1	large_multiallelic_likelihood_2048s	plan	3.13	2.87	0.16	16000	16000	0	32768000
1	large_float_string_2048s	baseline	3.35	3	0.22	0	0	0	0
1	large_float_string_2048s	plan	3.39	3.08	0.22	16000	0	16000	0
1	large_phase_width_variation_2048s	baseline	2.98	2.69	0.22	0	0	0	0
1	large_phase_width_variation_2048s	plan	2.83	2.54	0.21	12000	12000	0	24576000
1	large_mixed_likelihood_2048s	baseline	2.43	2.25	0.11	0	0	0	0
1	large_mixed_likelihood_2048s	plan	2.14	1.96	0.11	12000	12000	0	24576000
1	large_gt_first_reordered_2048s	baseline	1.95	1.78	0.09	0	0	0	0
1	large_gt_first_reordered_2048s	plan	1.62	1.49	0.08	12000	12000	0	24576000
1	large_two_string_float_2048s	baseline	2.6	2.35	0.19	0	0	0	0
1	large_two_string_float_2048s	plan	2.62	2.36	0.18	12000	0	12000	0
2	ccdg_10k	baseline	2.94	2.64	0.19	0	0	0	0
2	ccdg_10k	plan	2.63	2.35	0.19	10000	9861	139	31574922
2	1000g_chr22_full_genotypes	baseline	28.7	26.54	1.17	0	0	0	0
2	1000g_chr22_full_genotypes	plan	11.8	10.55	0.9	1103547	1103547	0	2763281688
2	large_ccdg_likelihood_2048s	baseline	4.69	4.3	0.24	0	0	0	0
2	large_ccdg_likelihood_2048s	plan	4.21	3.87	0.23	20000	20000	0	40960000
2	large_reordered_likelihood_2048s	baseline	3.23	3.01	0.15	0	0	0	0
2	large_reordered_likelihood_2048s	plan	2.73	2.52	0.13	20000	20000	0	40960000
2	large_multiallelic_likelihood_2048s	baseline	3.47	3.23	0.16	0	0	0	0
2	large_multiallelic_likelihood_2048s	plan	3.11	2.87	0.15	16000	16000	0	32768000
2	large_float_string_2048s	baseline	3.34	3.01	0.22	0	0	0	0
2	large_float_string_2048s	plan	3.29	3	0.2	16000	0	16000	0
2	large_phase_width_variation_2048s	baseline	2.96	2.67	0.21	0	0	0	0
2	large_phase_width_variation_2048s	plan	2.8	2.52	0.21	12000	12000	0	24576000
2	large_mixed_likelihood_2048s	baseline	2.41	2.23	0.11	0	0	0	0
2	large_mixed_likelihood_2048s	plan	2.08	1.94	0.1	12000	12000	0	24576000
2	large_gt_first_reordered_2048s	baseline	1.94	1.78	0.09	0	0	0	0
2	large_gt_first_reordered_2048s	plan	1.61	1.49	0.08	12000	12000	0	24576000
2	large_two_string_float_2048s	baseline	2.58	2.33	0.19	0	0	0	0
2	large_two_string_float_2048s	plan	2.64	2.34	0.19	12000	0	12000	0
3	ccdg_10k	baseline	2.89	2.63	0.2	0	0	0	0
3	ccdg_10k	plan	2.95	2.4	0.23	10000	9861	139	31574922
3	1000g_chr22_full_genotypes	baseline	28.11	26.16	1.16	0	0	0	0
3	1000g_chr22_full_genotypes	plan	12.12	10.88	0.9	1103547	1103547	0	2763281688
3	large_ccdg_likelihood_2048s	baseline	4.53	4.19	0.23	0	0	0	0
3	large_ccdg_likelihood_2048s	plan	4.16	3.83	0.22	20000	20000	0	40960000
3	large_reordered_likelihood_2048s	baseline	3.26	3.03	0.15	0	0	0	0
3	large_reordered_likelihood_2048s	plan	2.75	2.54	0.14	20000	20000	0	40960000
3	large_multiallelic_likelihood_2048s	baseline	3.55	3.26	0.18	0	0	0	0
3	large_multiallelic_likelihood_2048s	plan	3.12	2.86	0.16	16000	16000	0	32768000
3	large_float_string_2048s	baseline	3.34	3.03	0.23	0	0	0	0
3	large_float_string_2048s	plan	3.34	3.01	0.22	16000	0	16000	0
3	large_phase_width_variation_2048s	baseline	2.97	2.67	0.22	0	0	0	0
3	large_phase_width_variation_2048s	plan	2.83	2.55	0.21	12000	12000	0	24576000
3	large_mixed_likelihood_2048s	baseline	2.42	2.23	0.11	0	0	0	0
3	large_mixed_likelihood_2048s	plan	2.12	1.96	0.11	12000	12000	0	24576000
3	large_gt_first_reordered_2048s	baseline	1.94	1.78	0.09	0	0	0	0
3	large_gt_first_reordered_2048s	plan	1.62	1.49	0.09	12000	12000	0	24576000
3	large_two_string_float_2048s	baseline	2.61	2.34	0.19	0	0	0	0
3	large_two_string_float_2048s	plan	2.58	2.33	0.19	12000	0	12000	0
4	ccdg_10k	baseline	2.92	2.64	0.2	0	0	0	0
4	ccdg_10k	plan	2.64	2.35	0.19	10000	9861	139	31574922
4	1000g_chr22_full_genotypes	baseline	27.7	25.91	1.08	0	0	0	0
4	1000g_chr22_full_genotypes	plan	11.73	10.56	0.88	1103547	1103547	0	2763281688
4	large_ccdg_likelihood_2048s	baseline	4.53	4.18	0.24	0	0	0	0
4	large_ccdg_likelihood_2048s	plan	4.16	3.82	0.23	20000	20000	0	40960000
4	large_reordered_likelihood_2048s	baseline	3.26	3.03	0.15	0	0	0	0
4	large_reordered_likelihood_2048s	plan	2.73	2.52	0.13	20000	20000	0	40960000
4	large_multiallelic_likelihood_2048s	baseline	3.49	3.24	0.17	0	0	0	0
4	large_multiallelic_likelihood_2048s	plan	3.09	2.85	0.16	16000	16000	0	32768000
4	large_float_string_2048s	baseline	3.34	3.01	0.22	0	0	0	0
4	large_float_string_2048s	plan	3.26	2.96	0.21	16000	0	16000	0
4	large_phase_width_variation_2048s	baseline	3.01	2.69	0.23	0	0	0	0
4	large_phase_width_variation_2048s	plan	2.85	2.53	0.21	12000	12000	0	24576000
4	large_mixed_likelihood_2048s	baseline	2.46	2.25	0.12	0	0	0	0
4	large_mixed_likelihood_2048s	plan	2.13	1.95	0.1	12000	12000	0	24576000
4	large_gt_first_reordered_2048s	baseline	1.94	1.78	0.09	0	0	0	0
4	large_gt_first_reordered_2048s	plan	1.61	1.48	0.08	12000	12000	0	24576000
4	large_two_string_float_2048s	baseline	2.62	2.34	0.19	0	0	0	0
